id,Year,Category,Nominee
1944,1994,Best Song Written Specifically for a Motion Picture or for Television,A Whole New World.
859,1979,Best Comedy Recording,A Wild and Crazy Guy
2843,2004,Best Gospel Choir or Chorus Album,A Wing And A Prayer
2906,2004,Best Traditional Pop Vocal Album,A Wonderful World
4325,2019,Best Regional Mexican Music Album (Including Tejano),¡México Por Siempre!
3807,2013,Best Latin Jazz Album,¡Ritmo!
2594,2001,Best Tejano Album,¿Qué Es Música Tejana?
3553,2010,Best Spoken Word Album for Children,"Aaaaah! Spooky, Scary Stories & Songs"
441,1970,"Best Engineered Recording, Non-Classical",Abbey Road
2124,1996,Best Tropical Latin Performance,Abriendo Puertas
1582,1990,"Best Country Vocal Performance, Female",Absolute Torch And Twang
1551,1989,"Best Soul Gospel Performance, Male",Abundant Life.
1925,1994,Best Polka Album,Accordionally Yours
1860,1993,Best Rock Performance by a Duo or Group with Vocal,Achtung Baby
2764,2003,Best New Age Album,Acoustic Garden
3000,2005,Best Salsa/Merengue Album,Across 110th Street
2798,2003,Best Tejano Album,Acuérdate
3900,2014,Best Opera Recording,Adès: The Tempest
2502,2000,"Producer of the Year, Classical",Adam Abeshouse
1712,1991,Classical Producer of the Year,Adam Stern (artist)
3985,2015,Best Orchestral Performance,"Adams, John: City Noir"
3727,2012,Best Opera Recording,Adams: Doctor Atomic
2229,1998,Best Classical Contemporary Composition,Adams: El Dorado
3815,2013,Best Orchestral Performance,Adams: Harmonielehre & Short Ride In A Fast Machine
2227,1998,Best Choral Performance,Adams: Harmonium/Rachmaninoff: The Bells
1497,1989,Best Contemporary Composition,Adams: Nixon in China.
2923,2005,Best Classical Album,Adams: On The Transmigration Of Souls
2924,2005,Best Classical Contemporary Composition,Adams: On The Transmigration Of Souls
2976,2005,Best Orchestral Performance,Adams: On The Transmigration Of Souls
1397,1987,"Best Rock Vocal Performance, Male",Addicted to Love.
3407,2009,Best New Artist,Adele
3822,2013,Best R&B Song,Adorn.
137,1963,Best Jazz Performance- Large Group (Instrumental),Adventures In Jazz.
2268,1998,Best Metal Performance,Aenema
2865,2004,Best Mexican/Mexican-American Album,Afortunado
1615,1990,Best R&B Instrumental Performance,African Dance
1986,1995,Best Instrumental Composition,African Skies
3340,2008,Best Traditional World Music Album,African Spirit
95,1962,Best Instrumental Theme Or Instrumental Version of Song,African Waltz.
101,1962,Best Original Jazz Composition,African Waltz.
3853,2014,Best Album Notes,Afro Blue Impressions (Remastered & Expanded)
1580,1990,Best Country Song,After All This Time
2689,2002,Best Small Ensemble Performance (with or without Conductor),"After Mozart - Raskatov, Silvestrov & Schnittke"
522,1972,Best Country Vocal Performance by a Duo or Group,After The Fire Is Gone
2426,2000,Best Country Collaboration with Vocals,After the Gold Rush
941,1980,"Best R&B Vocal Performance by a Duo, Group or Chorus",After The Love Has Gone.
945,1980,Best Rhythm & Blues Song,After The Love Has Gone.
3146,2007,Best Contemporary Blues Album,After The Rain
747,1977,"Best Arrangement for Voices (duo, group or chorus)",Afternoon Delight
2554,2001,Best Male Rock Vocal Performance,Again
1246,1985,"Best Pop Vocal Performance, Male",Against All Odds (Take A Look At Me Now).
959,1981,Best Album Package,Against The Wind.
1006,1981,Best Rock Performance by a Duo or Group with Vocal,Against The Wind.
1097,1983,"Best Gospel Performance, Contemporary",Age To Age.
1157,1984,"Best Gospel Performance, Female",Ageless Medley.
952,1980,Best Spoken Word Album,Ages of Man : Reading from Shakespeare
1042,1982,Best Instrumental Arrangement Accompanying Vocal(s),Ai No Corrida.
4003,2015,Best Rock Song,Ain't It Fun.
1862,1993,"Best Rock Vocal Performance, Female",Ain't It Heavy
851,1979,Best Cast Show Album,Ain't Misbehavin' (Various Artists)
1472,1988,"Best Soul Gospel Performance by a Duo or Group, Choir or Chorus",Ain't No Need To Worry.
3161,2007,Best Female Pop Vocal Performance,Ain't No Other Man
541,1972,Best R&B Song,Ain't No Sunshine
1181,1984,Best R&B Performance by a Duo or Group with Vocal,Ain't Nobody.
682,1975,"Best R&B Vocal Performance, Female",Ain't Nothing Like The Real Thing
457,1970,Best Sacred Performance,Ain't That Beautiful Singing
1899,1994,"Best Country Vocal Performance, Male",Ain't That Lonely Yet
2955,2005,Best Instrumental Soloist Performance (without Orchestra),"Aire Latino (Morel, Villa-Lobos, Ponce, Etc.)"
490,1971,Best Instrumental Composition,Airport Love Theme
809,1978,Best Engineered Recording - Non-Classical,Aja
1089,1983,Best Country Instrumental Performance,Alabama Jubilee.
1908,1994,Best Instrumental Composition Written for a Motion Picture or for Television,Aladdin
1918,1994,Best Musical Album for Children,Aladdin
2263,1998,Best Long Form Music Video,Alanis Morissette: Jagged Little Pill - Live
1491,1989,Best Classical Performance - Instrumental Soloist (without orchestra),"Albéniz: Iberia, Navarra, Suite Espagnola."
657,1975,Best Classical Performance Instrumental Soloist or Soloists (without orchestra),Albeniz: Iberia
1965,1995,Best Classical Contemporary Composition,Albert: Cello Concerto
3701,2012,Best Contemporary Classical Composition,"Aldridge, Robert: Elmer Gantry"
3708,2012,"Best Engineered Album, Classical",Aldridge: Elmer Gantry
2851,2004,"Best Jazz Instrumental Album, Individual or Group",Alegría
4224,2018,Best New Artist,Alessia Cara
355,1968,Best Instrumental Arrangement,Alfie
3675,2011,Best Traditional World Music Album,Ali And Toumani
2661,2002,Best New Artist,Alicia Keys
3374,2009,Best Electronic/Dance Album,Alive 2007
3433,2009,Best Rock or Rap Gospel Album,Alive and Transported
3229,2007,Best Traditional Gospel Album,Alive In South Africa
2271,1998,Best Musical Album for Children,All Aboard!
3692,2012,Best Children's Album,All About Bullies... Big And Small (Various Artists)
4292,2019,Best Folk Album,All Ashore
2080,1996,Best Large Jazz Ensemble Performance,All Blues
878,1979,Best Jazz Vocal Performance,All Fly Home
2628,2002,Best Dance Recording,All for You
1058,1982,Best R&B Instrumental Performance,All I Need Is You.
1978,1995,Best Female Pop Vocal Performance,All I Wanna Do
2042,1995,Record of the Yearw,All I Wanna Do
1164,1984,"Best Jazz Instrumental Performance, Big Band",All In Good Time.
1610,1990,Best Polka Recording,All In My Love For You
1689,1991,Best Pop Performance by a Duo or Group with Vocal,All My Life
2738,2003,Best Hard Rock Performance,All My Life
887,1979,"Best R&B Vocal Performance by a Duo, Group or Chorus",All 'n All
4000,2015,"Best Remixed Recording, Non-Classical",All Of Me (Tiesto's Birthday Treatment Remix).
3738,2012,Best Rap Song,All of the Lights.
3739,2012,Best Rap/Sung Collaboration,All of the Lights.
1892,1994,Best Contemporary Soul Gospel Album,All Out
1672,1991,"Best Jazz Vocal Performance, Female",All That Jazz
2681,2002,Best Rock Album,All That You Can't Leave Behind
4272,2019,Best Children's Album,All the Sounds
2983,2005,Best Pop/Contemporary Gospel Album,All Things New
3508,2010,Best Long Form Music Video,All Together Now
149,1963,Best Rock & Roll Recording,Alley Cat.
2600,2001,Best Traditional Tropical Latin Album,Alma Caribeña
2344,1999,Best Instrumental Composition,Almost 12
2518,2001,"Best Compilation Soundtrack Album for a Motion Picture, Television or other Visual Media",Almost Famous
301,1967,Best Country & Western Recording,Almost Persuaded
302,1967,Best Country & Western Song,Almost Persuaded
304,1967,"Best Country & Western Vocal Performance, Male",Almost Persuaded
492,1971,"Best Jazz Performance, Small Group or Soloist with Small Group",Alone
579,1973,Best Jazz Performance by a Soloist,Alone At Last
2057,1996,Best Contemporary Soul Gospel Album,Alone In His Presence
3472,2010,Best Contemporary Blues Album,Already Free
1129,1983,Best Traditional Blues Recording,Alright Again.
4077,2016,Best Rap Performance,Alright.
4078,2016,Best Rap Song,Alright.
630,1974,Best Pop Instrumental Performance,Also Sprach Zarathustra (2001)
1431,1988,"Best Country Vocal Performance, Male",Always & Forever.
1237,1985,Best Latin Pop Performance,Always In My Heart (Siempre En Mi Corazon).
3552,2010,"Best Spoken Word Album (includes poetry, audio books & story telling)",Always Looking Up
3551,2010,Best Spoken Word Album,Always Looking Up.
1091,1983,Best Country Song,Always On My Mind.
1093,1983,"Best Country Vocal Performance, Male",Always On My Mind.
1134,1983,Song of the Year,Always On My Mind.
1260,1985,"Best Soul Gospel Performance, Male",Always Remember.
1211,1985,Best Classical Album,Amadeus.
3179,2007,"Best Latin Rock, Alternative or Urban Album",Amar Es Combatir
2962,2005,Best Latin Pop Album,Amar Sin Mentiras
3189,2007,Best New Age Album,Amarantine
595,1973,Best Soul Gospel Performance,Amazing Grace
1578,1990,Best Country Instrumental Performance,Amazing Grace
2116,1996,"Best Southern Gospel, Country Gospel or Bluegrass Gospel Album",Amazing Grace - A Country Salute To Gospel(Various Artists)
2299,1998,"Best Southern, Country or Bluegrass Gospel Album",Amazing Grace 2 - A Country Salute To Gospel (Various Artists)
1041,1982,Best Inspirational Performance,Amazing Grace.
580,1973,Best New Artist of the Year,America
3922,2014,Best Spoken Word Album,America Again: Re-becoming The Greatness We Never Weren't.
421,1970,Best Album Cover,America The Beautiful
2586,2001,"Best Score Soundtrack Album for a Motion Picture, Television or other Visual Media",American Beauty
3425,2009,Best Rap/Sung Collaboration,American Boy
4301,2019,Best Large Jazz Ensemble Album,"American Dreamers: Voices Of Hope, Music Of Freedom"
2995,2005,Best Rock Album,American Idiot
3630,2011,Best Musical Show Album,American Idiot - Featuring Green Day
1968,1995,Best Contemporary Folk Album,American Recordings
2318,1999,Best Chamber Music Performance,"American Scenes - Works Of Copland, Previn, Barber & Gershwin"
2457,2000,Best Male Rock Vocal Performance,American Woman
2678,2002,Best Recording Package,Amnesiac - Special Limited Edition
2081,1996,Best Latin Pop Performance,Amor
3428,2009,Best Regional Mexican Album,"Amor, Dolor y Lágrimas: Música Ranchera"
4091,2016,Best Surround Sound Album,Amused To Death
4064,2016,Best Music Film,Amy
3299,2008,Best New Artist,Amy Winehouse
2159,1997,Best Instrumental Arrangement,An American Symphony (Mr. Holland's Opus)
266,1966,Best Folk Recording,An Evening With Belafonte/Makeba
1109,1983,"Best Jazz Vocal Performance, Male",An Evening With George Shearing & Mel Tormé.
2079,1996,Best Jazz Vocal Performance,An Evening With Lena Horne
85,1962,Best Comedy Performance,An Evening With Mike Nichols And Elaine May.
3440,2009,Best Spoken Word Album,An Inconvenient Truth
1869,1993,Best Traditional Folk Album,"An Irish Evening - Live At The Grand Opera House, Belfast"
2230,1998,Best Classical Vocal Performance,"An Italian Songbook - Works Of Bellini, Donizetti, Rossini"
3282,2008,Best Jazz Instrumental Solo,Anagram
2413,2000,Best Bluegrass Album,Ancient Tones
400,1969,Best Instrumental Jazz Performance - Large Group or Soloist with Large Group,And His Mother Called Him Bill
1119,1983,"Best R&B Vocal Performance, Female",And I Am Telling You I'm Not Going.
3699,2012,Best Contemporary Christian Music Album,And If Our God Is For Us...
1387,1987,"Best R&B Instrumental Performance (Orchestra, Group or Soloist)",And You Know That.
4271,2019,Best Chamber Music/Small Ensemble Performance,"Anderson, Laurie: Landfall"
