id,Year,Category,Nominee
3233,2007,Best Tropical Latin Album,Directo Al Corazón
3337,2008,Best Traditional Folk Album,Dirt Farmer
2683,2002,Best Rock Instrumental Performance,Dirty Mind
2894,2004,Best Rock Vocal Performance by a Duo or Group,Disorder in the House
3312,2008,Best R&B Vocal Performance by a Duo or Group,Disrespectul
3512,2010,Best Metal Performance,Dissident Aggressor
3695,2012,Best Classical Vocal Solo,Diva Divo
4229,2018,Best Pop Vocal Album,Divide
3258,2008,Best Contemporary World Music Album,Djin Djin
2696,2002,Best Traditional Blues Album,Do You Get The Blues?
389,1969,"Best Contemporary Pop Vocal Performance, Female",Do You Know The Way To San Jose?
3916,2014,Best Regional Roots Music Album,Dockside Sessions
314,1967,Best Original Score Written for a Motion Picture or Television Show,Doctor Zhivago
1897,1994,Best Country Vocal Collaboration,Does He Love You
3679,2011,Lifetime Achievement Award,Dolly Parton
173,1964,Best Gospel Or Other Religious Recording (Musical),Dominique.
2041,1995,Producer of the Year,Don Was (artist)
4168,2017,Best Tropical Latin Album,Donde Están?
1070,1982,"Best Spoken Word, Documentary or Drama Recording",Donovan's Brain.
1496,1989,Best Contemporary Blues Recording,Don't Be Afraid of the Dark.
594,1973,Best Score from an Original Cast Show Album,"Don't Bother Me, I Can't Cope (Various Artists)"
1587,1990,"Best Gospel Vocal Performance, Female",Don't Cry
4297,2019,Best Improvised Jazz Solo,"Don't Fence Me In from American Dreamers: Voices of Hope, Music Of Freedom"
2719,2003,Best Contemporary Blues Album,Don't Give Up On Me
1068,1982,"Best Soul Gospel Performance, Contemporary",Don't Give Up.
805,1978,Best Country Song,Don't It Make My Brown Eyes
807,1978,"Best Country Vocal Performance, Female",Don't It Make My Brown Eyes Blue
1612,1990,Best Pop Performance by a Duo or Group with Vocal,Don't Know Much
2733,2003,Best Female Pop Vocal Performance,Don't Know Why
2809,2003,Record of the Year,Don't Know Why
2810,2003,Song of the Year,Don't Know Why
834,1978,"Best R&B Vocal Performance, Female",Don't Leave Me This Way
2651,2002,Best Male Pop Vocal Performance,Don't Let Me Be Lonely Tonight
4125,2017,Best Dance Recording,Don't Let Me Down
2279,1998,Best Pop Collaboration with Vocals,Don't Look Back
2303,1998,Best Traditional Blues Album,Don't Look Back
3096,2006,Best Rap Performance by a Duo or Group,Don't Phunk With My Heart
498,1971,"Best R&B Vocal Performance, Female",Don't Play That Song
1065,1982,Best Rock Performance by a Duo or Group with Vocal,Don't Stand So Close To Me.
943,1980,"Best R&B Vocal Performance, Male",Don't Stop 'til You Get Enough.
303,1967,Best Country & Western Vocal Performance - Female,Don't Touch Me
1517,1989,Best Jazz Instrumental Performance Soloist (On a Jazz Recording),Don't Try This at Home.
4085,2016,Best Rock Performance,Don't Wanna Fight.
4086,2016,Best Rock Song,Don't Wanna Fight.
1536,1989,"Best Pop Vocal Performance, Male","Don't Worry, Be Happy."
1558,1989,Record of the Year,"Don't Worry, Be Happy."
1559,1989,Song of the Year,"Don't Worry, Be Happy."
2383,1999,Best Rhythm & Blues Song,Doo Wop (That Thing)
2377,1999,Best R&B Vocal Performance - Female,Doo Wop (That Thing).
1850,1993,Best R&B Instrumental Performance,Doo-Bop
1960,1995,Best Alternative Music Performance,Dookie
1016,1982,Album of the Year,Double Fantasy.
2581,2001,Best Rock Gospel Album,Double Take
1367,1987,"Best Jazz Fusion Performance, Vocal or Instrumental",Double Vision.
3950,2015,Best Classical Solo Vocal Album,Douce France
3562,2010,Best Traditional World Music Album,Douga Mansa
1737,1992,"Best Country Vocal Performance, Female",Down At The Twist And Shout
2697,2002,Best Traditional Folk Album,Down From The Mountain (Various Artists)
3446,2009,Best Traditional Gospel Album,Down in New Orleans
3438,2009,"Best Song Written for Motion Picture, Television or Other Visual Media",Down To Earth
1379,1987,Best New Age Recording,Down to the Moon.
652,1975,Best Arrangement Accompanying Vocalists,Down To You
233,1965,Best Rock & Roll Recording,Downtown
3672,2011,Best Traditional Gospel Album,Downtown Church
2603,2001,"Producer of the Year, Non-Classical",Dr. Dre
317,1967,Best Recording for Children,Dr. Seuss Presents - If I Ran The Zoo And Sleep Book
278,1966,Best Recording for Children,Dr. Seuss Presents Fox In Sox And Green Eggs And Ham
3722,2012,"Best Latin Pop, Rock, or Urban Album",Drama Y Luz
1082,1983,Best Cast Show Album,Dreamgirls(Various Artists).
2617,2002,Best Classical Vocal Performance,Dreams & Fables - Gluck Italian Arias: Tremo Fra' Dubbi Miei; Di Questa Cetra In Seno
4214,2018,Best Jazz Vocal Album,Dreams and Daggers
3115,2006,Best Spoken Word Album,Dreams from My Father
2541,2001,Best Instrumental Soloist Performance (without Orchestra),"Dreams Of A World - Works Of Lauro, Ruiz-Pipo & Duarte"
4084,2016,Best Rock Album,Drones.
2638,2002,Best Instrumental Arrangement Accompanying Vocalist(s),Drops Of Jupiter
2684,2002,Best Rock Song,Drops Of Jupiter
3990,2015,Best R&B Performance,Drunk in Love.
3991,2015,Best R&B Song,Drunk in Love.
4310,2019,Best New Artist,Dua Lipa
613,1974,Best Country Instrumental Performance,Dueling Banjos
930,1980,"Best Jazz Instrumental Performance, Group",Duet.
2122,1996,Best Traditional Pop Vocal Performance,Duets II
3756,2012,Best Traditional Pop Vocal Album,Duets II.
14,1959,Best Engineered Record (Classical),Duets with a Spanish Guitar
3230,2007,Best Traditional Pop Vocal Album,Duets: An American Classic
929,1980,"Best Jazz Instrumental Performance, Big Band","Duke Ellington At Fargo, 1940 Live."
1196,1984,Best Video Album,Duran Duran
4164,2017,Best Surround Sound Album,"Dutilleux: Sur Le Même Accord; Les Citations; Mystère De L'instant & Timbres, Espace, Mouvement"
4035,2016,Best Classical Instrumental Solo,"Dutilleux: Violin Concerto, L'Arbre Des Songes"
2888,2004,Best Reggae Album,Dutty Rock
2529,2001,"Best Engineered Album, Classical","Dvorák: Requiem, Op. 89; Sym. No. 9, Op. 95 'From the New World'"
4140,2017,Best Metal Performance,Dystopia
1080,1983,Best Album of Original Score Written for a Motion Picture or Television Special,E.T. the Extra-Terrestrial
1184,1984,Best Recording for Children,E.T. the Extra-Terrestrial album.
2937,2005,Best Country Instrumental Performance,Earl's Breakdown
1275,1986,Best Arrangement on an Instrumental,Early A.M. Attitude.
4250,2018,Best Surround Sound Album,Early Americans
2598,2001,Best Traditional R&B Vocal Album,Ear-Resistible
1216,1985,Best Comedy Recording,Eat It.
3812,2013,Best New Age Album,Echoes Of Love
3321,2008,Best Rock Album,"Echoes, Silence, Patience & Grace"
1148,1984,Best Comedy Recording,Eddie Murphy: Comedian.
4109,2017,Best Boxed or Special Limited Edition Package,Edith Piaf 1915-2015
324,1967,"Best Spoken Word, Documentary or Drama Recording",Edward R. Murrow - A Reporter Remembers Vol. I The War Years
1822,1993,Best Gospel Album by a Choir or Chorus,Edwin Hawkins Music & Arts Seminar Mass Choir - Recorded Live In Los Angeles
2934,2005,Best Contemporary World Music Album,Egypt
4200,2018,Best Country Solo Performance,Either Way
2804,2003,Best Traditional Tropical Latin Album,El Arte Del Sabor
3833,2013,Best Rock Album,El Camino.
3628,2011,Best Metal Performance,El Dorado
4217,2018,Best Latin Pop Album,El dorado
3623,2011,"Best Latin Rock, Alternative or Urban Album",El Existential
2469,2000,Best Pop Instrumental Performance,El Farol
4237,2018,Best Recording Package,El Orisha de la Rosa
49,1961,Best Country & Western Performance,El Paso.
3286,2008,Best Latin Pop Album,El Tren De Los Momentos
3235,2007,"Producer of the Year, Classical",Elaine Martone
300,1967,Best Contemporary (R&R) Solo Vocal Performance - Male or Female,Eleanor Rigby
3619,2011,Best Jazz Vocal Album,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee
3460,2010,Best Americana Album,Electric Dirt
3429,2009,"Best Remixed Recording, Non-Classical",Electric Feel (Justice Remix)
4305,2019,Best Metal Performance,Electric Messiah
4288,2019,Best Dance Recording,Electricity
2813,2004,Best Alternative Music Album,Elephant
3041,2006,Best Contemporary World Music Album,Eletracústico
2685,2002,Best Rock Vocal Performance by a Duo or Group,Elevation
1281,1986,Best Classical Performance - Instrumental Soloist or Soloists (with or without orchestra),"Elgar: Cello Concerto, Op. 85/Walton: Concerto For Cello & Orch."
3158,2007,"Best Engineered Album, Classical","Elgar: Enigma Variations; Britten: The Young Person's Guide To The Orchestra, Four Sea Interludes"
1086,1983,"Best Classical Performance, Instrumental Soloist (with orchestra)",Elgar: Violin Concerto In B Minor.
2556,2001,Best Metal Performance,Elite
759,1977,"Best Country Vocal Performance, Female",Elite Hotel
1224,1985,Best Ethnic or Traditional Folk Recording,Elizabeth Cotten Live!.
31,1959,"Best Vocal Performance, Female",Ella Fitzgerald
19,1959,"Best Jazz Performance, Individual",Ella Fitzgerald Sings the Duke Ellington Songbook.
52,1961,Best Engineering Contribution - Popular Recording,Ella Fitzgerald Sings The George And Ira Gershwin Songbook.
150,1963,"Best Solo Vocal Performance, Female",Ella Swings Brightly With Nelson Riddle.
269,1966,Best Instrumental Jazz Performance - Large Group or Soloist with Large Group,Ellington '66
3487,2010,"Best Engineered Album, Non-Classical",Ellipse
2657,2002,Best Musical Album for Children,Elmo and the Orchestra (Sesame Street Characters)
2362,1999,Best Musical Album for Children,Elmopalooza!(Various Artists)
2559,2001,Best Musical Show Album,Elton John & Tim Rice's Aida (Original Broadway Cast)
1031,1982,Best Country Performance by a Duo or Group with Vocal,Elvira.
321,1967,Best Sacred Performance,Elvis Presley
505,1971,Lifetime Achievement Award,Elvis Presley
4299,2019,Best Jazz Instrumental Album,Emanon
2648,2002,Best Latin Rock/Alternative Album,Embrace The Chaos
2791,2003,Best Short Form Music Video,Eminem: Without Me
1815,1993,Best Country Performance by a Duo or Group with Vocal,Emmylou Harris & The Nash Ramblers At The Ryman
3649,2011,Best Rap Song,Empire State Of Mind
3650,2011,Best Rap/Sung Collaboration,Empire State of Mind.
2269,1998,Best Mexican-American/Tejano Music Performance,En Tus Manos
2656,2002,Best Mexican/Mexican-American Album,En Vivo...El Hombre Y Su Musica
3575,2011,Best Banda Album,Enamórate De Mí
2686,2002,Best Salsa Album,Encore
175,1964,Best Instrumental Jazz Performance- Large Group,"Encore: Woody Herman, 1963."
1851,1993,Best R&B Performance by a Duo or Group with Vocal,End Of The Road
1858,1993,Best Rhythm & Blues Song,End Of The Road
2170,1997,Best Latin Pop Performance,Enrique Iglesias
4277,2019,Best Comedy Album,Equanimity & The Bird Revelation
1017,1982,Best Album Notes,Erroll Garner - Master Of The Keyboard.
1308,1986,Best Latin Pop Performance,Es Fácil Amar.
4181,2018,"Best Arrangement, Instrumental or A Cappella",Escapades for Alto Saxophone and Orchestra from Catch Me If You Can
1327,1986,"Best Rock Instrumental Performance (Orchestra, Group or Soloist)",Escape.
1404,1987,Best Tropical Latin Performance,Escenas.
3070,2006,Best Latin Pop Album,Escucha
3633,2011,Best New Artist,Esperanza Spalding
2870,2004,Best New Artist,Evanescence
4014,2015,Best World Music Album,Eve
1494,1989,Best Comedy Recording,Even Worse.
160,1964,Best Classical Performance- Chamber Music,Evening Of Elizabethan Music.
1177,1984,Best Pop Performance by a Duo or Group with Vocal,Every Breath You Take.
1202,1984,Song of the Year,Every Breath You Take.
1618,1990,"Best R&B Vocal Performance, Male",Every Little Step
503,1971,Best Soul Gospel Performance,Every Man Wants To Be Free
1802,1993,Best Bluegrass Album,Every Time You Say Goodbye
434,1970,"Best Contemporary Vocal Performance, Male",Everybody's Talkin'
479,1971,"Best Contemporary Vocal Performance, Male",Everything Is Beautiful
501,1971,Best Sacred Performance,Everything Is Beautiful
4339,2019,Best Urban Contemporary Album,Everything is Love
3537,2010,Best Recording Package,Everything That Happens Will Happen Today
1474,1988,"Best Soul Gospel Performance, Male",Everything's Gonna Be Alright.
93,1962,Best Gospel Or Other Religious Recording,Everytime I Feel The Spirit.
963,1981,Best Cast Show Album,Evita - Premier American Recording (Various Artists).
2887,2004,Best Recording Package,Evolve
2199,1997,Best Rhythm & Blues Song,Exhale (Shoop Shoop)
66,1961,Best Soundtrack Album or Recording of Music Score from Motion Picture or Television,Exodus
4296,2019,Best Immersive Audio Album,Eye in the Sky - 35th Anniversary Edition
1123,1983,Best Rock Performance by a Duo or Group with Vocal,Eye Of The Tiger.
3782,2013,Best Contemporary Christian Music Album,Eye on It.
3184,2007,Best Metal Performance,Eyes Of The Insane
3733,2012,Best R&B Album,F.A.M.E.
2262,1998,Best Latin Rock/Alternative Performance,Fabulosos Calavera
2214,1997,Best Traditional Soul Gospel Album,Face To Face
3037,2006,Best Contemporary Folk Album,Fair & Square
661,1975,Best Country Vocal Performance by a Duo or Group,Fairytale
4334,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Faith - A Journey for All
1483,1989,Album of the Year,Faith.
2289,1998,Best Reggae Album,Fallen Is Babylon
2673,2002,Best R&B Song,Fallin'
2706,2002,Song of the Year,Fallin'
2130,1997,Album of the Year,Falling Into You
2186,1997,Best Pop Album,Falling Into You
3203,2007,Best R&B Vocal Performance by a Duo or Group,Family Affair
1651,1991,Best Contemporary Blues Recording,Family Style
3513,2010,Best Musical Album for Children,Family Time
2472,2000,Best R&B Album,Fanmail
356,1968,"Best Instrumental Jazz Performance, Large Group or Soloist with Large Group",Far East Suite
1507,1989,Best Female Pop Vocal Performance,Fast Car.
1535,1989,"Best Pop Vocal Performance, Female",Fast Car.
2688,2002,Best Short Form Music Video,Fatboy Slim: Weapon of Choice
1967,1995,Best Contemporary Blues Album,Father Father
1280,1986,Best Classical Orchestral Recording,Faure: Pelleas Et Melisande.
1432,1988,"Best Engineered Recording, Classical",Faure: Requiem/Durufle: Requiem.
62,1961,Best Performance- Documentary or Spoken Word (Other Than Comedy),FDR Speaks.
3457,2010,Album of the Year,Fearless (Shared with Engineer/Mixer Chad Carlson).
3478,2010,Best Country Album,Fearless.
3086,2006,Best Pop Collaboration with Vocals,"Feel Good, Inc."
4227,2018,Best Pop Duo/Group Performance,Feel it Still
4186,2018,Best Children's Album,Feel What U Feel
1888,1994,Best Contemporary Blues Album,Feels Like Rain
3120,2006,Best Traditional Folk Album,Fiddler's Green
3071,2006,Best Latin Rock/Alternative Album,Fijación Oral Vol. 1
4031,2016,Best Chamber Music/Small Ensemble Performance,Filament
3293,2008,Best Metal Performance,Final Six
932,1980,Best Jazz Vocal Performance,Fine And Mellow.
3196,2007,Best Pop Instrumental Album,Fingerprints
3970,2015,Best Improvised Jazz Solo,Fingerprints.
1066,1982,"Best Rock Vocal Performance, Female",Fire And Ice.
1149,1984,Best Country Instrumental Performance,Fireball.
1232,1985,"Best Jazz Fusion Performance, Vocal or Instrumental",First Circle.
578,1973,Best Jazz Performance by a Group,First Light
672,1975,Best Jazz Performance by a Soloist,First Recordings!
771,1977,Best Jazz Vocal Performance,Fitzgerald And Pass...Again
3502,2010,"Best Jazz Instrumental Album, Individual or Group",Five Peace Band - Live
2087,1996,Best Mexican-American/Tejano Music Performance,Flaco Jimenez
1139,1984,Best Album of Original Score Written for a Motion Picture or Television Special,Flashdance
1178,1984,"Best Pop Vocal Performance, Female",Flashdance - What A Feeling.
3360,2009,Best Comedy Album,Flight of the Conchords
4107,2017,"Best Arrangement, Instruments and Vocals",Flintstones
255,1966,Best Contemporary (R&R) Performance - Group (Vocal or Instrumental),Flowers On The Wall
2008,1995,Best Opera Recording,Floyd: Susannah
2425,2000,Best Country Album,Fly
2359,1999,Best Male Rock Vocal Performance,Fly Away
146,1963,Best Performance by an Orchestra- For Dancing,Fly Me To The Moon Bossa Nova.
3997,2015,Best Reggae Album,Fly Rasta
730,1976,Best R&B Instrumental Performance,"Fly, Robin, Fly"
1101,1983,Best Instrumental Arrangement Accompanying Vocal(s),Flying - Theme from 'E.T. the Extra-Terrestrial'.
1102,1983,Best Instrumental Composition,Flying - Theme from 'E.T. the Extra-Terrestrial'.
2868,2004,Best Native American Music Album,Flying Free
1081,1983,Best Arrangement On An Instrumental Recording,Flying.
866,1979,Best Engineered Recording - Non-Classical,FM (No Static At All)
564,1973,Best Comedy Recording,FM And AM
391,1969,"Best Country Performance, Duo or Group - Vocal or Instrumental",Foggy Mountain Breakdown
2625,2002,Best Country Instrumental Performance,Foggy Mountain Breakdown
1527,1989,Best New Age Performance,Folksongs for a Nuclear Village.
1554,1989,Best Traditional Folk Recording,Folkways - A Vision Shared: A Tribute to Woody Guthrie & Leadbelly (various artists).
1378,1987,Best Musical Cast Show Album,Follies in Concert.
1324,1986,Best Recording for Children,Follow That Bird - Original Motion Picture Soundtrack.
394,1969,"Best Country Vocal Performance, Male",Folsom Prison Blues
3723,2012,Best Long Form Music Video,Foo Fighters: Back and Forth
2587,2001,Best Short Form Music Video,Foo Fighters: Learn to Fly
3735,2012,Best R&B Song,Fool For You.
3757,2012,Best Traditional R&B Performance,Fool For You.
697,1976,"Best Album Notes, Classical",Footlifters
1473,1988,"Best Soul Gospel Performance, Female",For Always.
3952,2015,Best Compilation Soundtrack for Visual Media,For both the single and deluxe edition soundtrack albums.
2204,1997,Best Rock Song,For 'Give Me One Reason'
3169,2007,Best Instrumental Arrangement Accompanying Vocalist(s),For Once In My Life
3195,2007,Best Pop Collaboration with Vocals,For Once in My Life
4058,2016,Best Jazz Vocal Album,For One To Love
3470,2010,Best Comedy Album,For the album based on the TV special.
3917,2014,Best Rock Album,For the album 'Celebration Day'.
484,1971,"Best Country Vocal Performance, Male",For The Good Times
1827,1993,Best Instrumental Composition Written for a Motion Picture or for Television,For the instrumental score portion of the soundtrack.
649,1975,Best Album Notes,For The Last Time
2253,1998,Best Instrumental Composition Written for a Motion Picture or for Television,For the main theme.
684,1975,Best Recording for Children,For the original motion picture soundtrack.
1667,1991,Best Instrumental Composition Written for a Motion Picture or for Television,For the original score.
1765,1992,Best Pop Gospel Album,For The Sake Of The Call
1770,1992,Best Pop/Contemporary Gospel Album,For The Sake Of The Call
2340,1999,Best Hard Rock Performance,For the song 'Most High'.
1688,1991,Best Pop Instrumental Performance,For the theme
1742,1992,Best Hard Rock Performance with Vocal,For Unlawful Carnal Knowledge
2084,1996,Best Male R&B Vocal Performance,For Your Love
2109,1996,Best Rhythm & Blues Song,For Your Love
2092,1996,Best New Age Album,Forest
3719,2012,Best Jazz Instrumental Album,Forever
1427,1988,Best Country Song,"Forever and Ever, Amen."
1907,1994,Best Instrumental Composition,Forever In Love
1229,1985,Best Inspirational Performance,Forgive Me.
2576,2001,Best Rap Performance by a Duo or Group,Forgot About Dre
2189,1997,Best Pop Performance by a Duo or Group with Vocal,Free As A Bird
1939,1994,Best Rock Gospel Album,Free At Last
1371,1987,"Best Jazz Vocal Performance, Duo or Group",Free Fall.
3257,2008,Best Contemporary R&B Gospel Album,Free To Worship
4340,2019,Best World Music Album,Freedom
1322,1986,"Best R&B Vocal Performance, Female",Freeway Of Love.
1326,1986,Best Rhythm & Blues Song,Freeway Of Love.
1872,1993,Best Tropical Latin Album,Frenesi
1759,1992,Best New Age Album,Fresh Aire 7
876,1979,"Best Jazz Instrumental Performance, Group",Friends
2382,1999,Best Reggae Album,Friends
1715,1991,Song of the Year,From A Distance
4198,2018,Best Country Album,From A Room: Volume 1
615,1974,Best Country Vocal Performance by a Duo or Group,From The Bottle To The Bottom
3074,2006,Best Male Pop Vocal Performance,From the Bottom of My Heart
2034,1995,Best Traditional Blues Album,From The Cradle
4328,2019,Best Rock Album,From the Fires
3872,2014,Best Country Duo/Group Performance,From This Valley.
4274,2019,Best Classical Compendium,Fuchs: Piano Concerto 'Spiritualist'; Poems Of Life; Glacier; Rush
3677,2011,Best Urban/Alternative Performance,Fuck You.
647,1975,Album of the Year,Fulfillingness' First Finale
678,1975,"Best Pop Vocal Performance, Male",Fulfillingness' First Finale
2702,2002,Best World Music Album,Full Circle - Carnegie Hall 2000
3813,2013,Best New Artist,Fun.
3285,2008,Best Latin Jazz Album,Funk Tango
3310,2008,Best R&B Album,Funk This
234,1965,Best Score From an Original Cast Show Album,Funny Girl
2014,1995,Best Pop Vocal Collaboration,Funny How Time Slips Away
128,1963,Best Country & Western Recording,Funny Way Of Laughin'.
3292,2008,Best Male R&B Vocal Performance,Future Baby Mama
4013,2015,Best Urban Contemporary Album,G I R L.
424,1970,Best Chamber Music Performance,Gabrieli: Antiphonal Music Of Gabrieli
9,1959,Best Classical Performance - Orchestra,Gaiete Parisienne
373,1968,"Best Spoken Word, Documentary or Drama Recording",Gallant Men
3047,2006,Best Dance Recording,Galvanize
431,1970,Best Contemporary Song,Games People Play
451,1970,Best R&B Instrumental Performance,Games People Play
463,1970,Song of the Year,Games People Play
2105,1996,Best Rap Solo Performance,Gangsta's Paradise
2928,2005,"Best Compilation Soundtrack Album for a Motion Picture, Television or Other Visual Media",Garden State
2560,2001,Best Native American Music Album,Gathering Of Nations Pow Wow (Various Artists)
1036,1982,"Best Engineered Recording, Non-Classical",Gaucho.
2916,2005,Album of the Year,Genius Loves Company (Various Artists)
2943,2005,"Best Engineered Album, Non-Classical",Genius Loves Company (Various Artists)
2982,2005,Best Pop Vocal Album,Genius Loves Company (Various Artists)
3009,2005,Best Surround Sound Album,Genius Loves Company (Various Artists)
347,1968,Best Country & Western Recording,Gentle On My Mind
349,1968,"Best Country & Western Solo Vocal Performance, Male",Gentle On My Mind
350,1968,Best Country & Western Song,Gentle On My Mind
353,1968,Best Folk Performance,Gentle On My Mind
3958,2015,Best Country Duo/Group Performance,Gentle On My Mind.
3671,2011,Best Traditional Folk Album,Genuine Negro Jig
4343,2019,Lifetime Achievement Award,George Clinton and Parliament Funkadelic
865,1979,"Best Country Vocal Performance, Male",Georgia On My Mind
57,1961,Best Performance By A Pop Single Artist,Georgia On My Mind.
72,1961,"Best Vocal Performance Single Record or Track, Male",Georgia On My Mind.
1108,1983,"Best Jazz Vocal Performance, Female",Gershwin Live!.
774,1977,Best Opera Recording,Gershwin: Porgy And Bess
823,1978,Best Opera Recording,Gershwin: Porgy And Bess
762,1977,"Best Engineered Recording, Classical",Gershwin: Rhapsody In Blue
2348,1999,"Best Jazz Instrumental Performance, Individual or Group",Gershwin's World
1011,1981,"Best Spoken Word, Documentary or Drama Recording","Gertrude Stein, Gertrude Stein, Gertrude Stein."
3025,2006,Best Alternative Music Album,Get Behind Me Satan
1079,1983,Best Album Package,Get Closer.
2033,1995,Best Spoken Word or Non-Musical Album,Get In The Van - On The Road With Black Flag
3092,2006,Best R&B Album,Get Lifted
3902,2014,Best Pop Duo/Group Performance,Get Lucky.
3932,2014,Record of the Year,Get Lucky.
2633,2002,Best Female Rock Vocal Performance,Get Right With God
3380,2009,Best Gospel Performance,Get Up
3858,2014,Best Blues Album,Get Up!
2676,2002,Best Rap Solo Performance,Get Ur Freak On
2380,1999,Best Rap Solo Performance,Gettin' Jiggy Wit It
196,1965,Album of the Year,Getz/Gilberto
213,1965,Best Engineered Recording - Non-Classical,Getz/Gilberto
220,1965,Best Instrumental Jazz Performance - Small Group or Soloist with Small Group,Getz/Gilberto
1243,1985,Best Pop Instrumental Performance,Ghostbusters (Instrumental).
625,1974,Best Jazz Performance by a Big Band,Giant Steps
29,1959,"Best Sound Track Album, Dramatic Picture Score or Original Cast",Gigi
30,1959,"Best Soundtrack Album, Dramatic Picture Score or Original Cast",Gigi
2550,2001,Best Long Form Music Video,Gimme Some Truth: The Making of John Lennon's Imagine Album
4044,2016,Best Country Duo/Group Performance,Girl Crush
4046,2016,Best Country Song,Girl Crush
3906,2014,Best R&B Album,Girl On Fire.
3432,2009,Best Rock Song,Girls in Their Summer Clothes
1197,1984,"Best Video, Short Form",Girls On Film/Hungry Like The Wolf.
1500,1989,Best Country Performance by a Duo or Group with Vocal,Give a Little Love.
738,1976,Best Spoken Word Recording,Give 'Em Hell Harry
737,1976,Best Spoken Word Album,"Give 'em Hell, Harry!"
1823,1993,Best Hard Rock Performance with Vocal,Give It Away
1002,1981,"Best R&B Vocal Performance, Male",Give Me The Night.
2753,2003,Best Male Country Vocal Performance,Give My Love To Rose
1508,1989,Best Female R&B Vocal Performance,Giving You the Best That I Got
1542,1989,Best Rhythm & Blues Song,Giving You the Best That I Got
1617,1990,"Best R&B Vocal Performance, Female",Giving You The Best That I Got
1008,1981,"Best Rock Vocal Performance, Male",Glass Houses.
3367,2009,Best Contemporary World Music Album,Global Drum Project
382,1969,Best Chamber Music Performance,"Glory Of Gabrieli Vol. II - Canzonas For Brass, Winds, Strings And Organ"
3222,2007,"Best Southern, Country or Bluegrass Gospel Album",Glory Train
4089,2016,Best Song Written for Visual Media,Glory.
3796,2013,Best Gospel Song,Go Get It
2062,1996,Best Country Song,Go Rest High On That Mountain
2082,1996,Best Male Country Vocal Performance,Go Rest High On That Mountain
2908,2004,Best Traditional Soul Gospel Album,Go Tell It On The Mountain
3231,2007,Best Traditional R&B Vocal Performance,God Bless The Child
3492,2010,Best Gospel Song,God In Me
3894,2014,Best Metal Performance,God Is Dead?
602,1974,Best Album Notes,God Is In The House
627,1974,Best Jazz Performance by a Soloist,God Is In The House
4131,2017,Best Gospel Performance/Song,God Provides
3587,2011,Best Contemporary Folk Album,God Willin' & The Creek Don't Rise
4321,2019,Best Rap Song,God's Plan (Drake)
2247,1998,Best Gospel Choir or Chorus Album,God's Property From Kirk Franklin's Nu Nation
547,1972,Best Score from an Original Cast Show Album,Godspell (Original Cast)
1868,1993,Best Traditional Blues Album,Goin' Back To New Orleans
309,1967,Best Instrumental Jazz Performance - Group or Soloist with Group,Goin' Out Of My Head
1400,1987,"Best Soul Gospel Performance, Male",Going Away.
3097,2006,Best Rap Solo Performance,Gold Digger
4261,2019,Album of the Year,Golden Hour
4284,2019,Best Country Album,Golden Hour
3141,2007,Best Classical Contemporary Composition,Golijov: Ainadamar: Fountain Of Tears
3192,2007,Best Opera Recording,Golijov: Ainadamar: Fountain Of Tears
3304,2008,Best Pop Collaboration with Vocals,Gone Gone Gone (Done Moved On)
2664,2002,Best Polka Album,Gone Polka
688,1975,Best Spoken Word Recording,Good Evening
487,1971,Best Ethnic or Traditional Recording (Including Traditional Blues),Good Feelin'
3316,2008,Best Rap Song,Good Life
1779,1992,Best Rock Performance by a Duo or Group with Vocal,"Good Man, Good Woman"
1945,1994,"Best Southern Gospel, Country Gospel or Bluegrass Gospel Album",Good News
3067,2006,Best Jazz Vocal Album,"Good Night, And Good Luck."
2270,1998,"Best Music Video, Short Form",Got 'til It's Gone
2296,1998,Best Short Form Music Video,Got 'Till It's Gone
849,1979,Best Arrangement Accompanying Vocal(s),Got To Get You Into My Life
949,1980,"Best Rock Vocal Performance, Male",Gotta Serve Somebody.
3607,2011,Best Gospel Performance,Grace
4067,2016,Best New Age Album,Grace
1207,1985,Best Arrangement on an Instrumental,Grace (Gymnastics Theme).
1342,1987,Album of the Year,Graceland.
1481,1988,Record of the Year,Graceland.
1447,1988,Best Mexican-American Performance,Gracias! America Sin Fronteras.
1706,1991,Best Spoken Word or Non-Musical Recording,Gracie - A Love Story
3313,2008,Best Rap Album,Graduation
1725,1992,Best Classical Performance Instrumental Solo Without Orchestra,Granados: Goyescas; Allegro De Concierto; Danza Lenta
322,1967,Best Sacred Recording (Musical),Grand Old Gospel
1355,1987,Best Country Performance by a Duo or Group with Vocal,Grandpa (Tell Me 'Bout the Good Ol' Days).
1356,1987,Best Country Song,Grandpa (Tell Me 'Bout the Good Ol' Days).
2863,2004,Best Male Rock Vocal Performance,Gravedigger
3437,2009,Best Solo Rock Vocal Performance,Gravity
3795,2013,Best Gospel Album,Gravity.
180,1964,Best Original Jazz Composition,Gravy Waltz.
786,1977,Best Spoken Word Recording,Great American Documents
102,1962,Best Performance by a Chorus,Great Band With Great Voices.
216,1965,Best Gospel or Other Religious Recording (Musical),Great Gospel Songs
165,1964,Best Classical Performance- Vocal Soloist (With or Without Orchestra),Great Scenes From Gershwin's Porgy And Bess.
